task,trial,budget,condition,f1,em,rouge_l,contains
niah_single,0,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,0,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,0,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,0,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,0,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,0,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,0,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,0,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,1,98,KiaOmni_NaturalSignal,0.6666666666666666,0.0,0.6666666666666666,1.0
niah_single,1,98,KiaOmni_SwappedSignal,0.6666666666666666,0.0,0.6666666666666666,1.0
niah_single,1,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,1,98,SnapKV_SwappedSignal,0.03571428571428571,0.0,0.03571428571428572,1.0
niah_single,1,128,KiaOmni_NaturalSignal,0.03508771929824561,0.0,0.03508771929824561,1.0
niah_single,1,128,KiaOmni_SwappedSignal,0.6666666666666666,0.0,0.6666666666666666,1.0
niah_single,1,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,1,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,2,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,2,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,2,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,2,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,2,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,2,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,2,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,2,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,3,98,KiaOmni_NaturalSignal,1.0,1.0,1.0,1.0
niah_single,3,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,3,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,3,98,SnapKV_SwappedSignal,1.0,1.0,1.0,1.0
niah_single,3,128,KiaOmni_NaturalSignal,1.0,1.0,1.0,1.0
niah_single,3,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,3,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,3,128,SnapKV_SwappedSignal,0.03636363636363636,0.0,0.03636363636363636,1.0
niah_single,4,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,4,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,4,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,4,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,4,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,4,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,4,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,4,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,5,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,5,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,5,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,5,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,5,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,5,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,5,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,5,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,6,98,KiaOmni_NaturalSignal,0.03076923076923077,0.0,0.03076923076923077,1.0
niah_single,6,98,KiaOmni_SwappedSignal,0.09090909090909091,0.0,0.0909090909090909,1.0
niah_single,6,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,6,98,SnapKV_SwappedSignal,0.07407407407407407,0.0,0.07407407407407407,1.0
niah_single,6,128,KiaOmni_NaturalSignal,0.043478260869565216,0.0,0.04347826086956522,1.0
niah_single,6,128,KiaOmni_SwappedSignal,1.0,1.0,1.0,1.0
niah_single,6,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,6,128,SnapKV_SwappedSignal,0.041666666666666664,0.0,0.04166666666666667,1.0
niah_single,7,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,7,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,7,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,7,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,7,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,7,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,7,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,7,128,SnapKV_SwappedSignal,1.0,1.0,1.0,1.0
niah_single,8,98,KiaOmni_NaturalSignal,0.05263157894736842,0.0,0.052631578947368425,1.0
niah_single,8,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,8,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,8,98,SnapKV_SwappedSignal,0.03636363636363636,0.0,0.03636363636363636,1.0
niah_single,8,128,KiaOmni_NaturalSignal,0.0392156862745098,0.0,0.0392156862745098,1.0
niah_single,8,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,8,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,8,128,SnapKV_SwappedSignal,0.03571428571428571,0.0,0.03571428571428572,1.0
niah_single,9,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,9,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,9,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,9,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,9,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,9,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,9,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,9,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,10,98,KiaOmni_NaturalSignal,0.05714285714285714,0.0,0.05714285714285715,1.0
niah_single,10,98,KiaOmni_SwappedSignal,1.0,1.0,1.0,1.0
niah_single,10,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,10,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,10,128,KiaOmni_NaturalSignal,0.034482758620689655,0.0,0.034482758620689655,1.0
niah_single,10,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,10,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,10,128,SnapKV_SwappedSignal,0.03389830508474576,0.0,0.03389830508474576,1.0
niah_single,11,98,KiaOmni_NaturalSignal,0.11764705882352941,0.0,0.11764705882352941,1.0
niah_single,11,98,KiaOmni_SwappedSignal,0.029411764705882353,0.0,0.029411764705882353,1.0
niah_single,11,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,11,98,SnapKV_SwappedSignal,0.03076923076923077,0.0,0.03076923076923077,1.0
niah_single,11,128,KiaOmni_NaturalSignal,0.045454545454545456,0.0,0.04545454545454545,1.0
niah_single,11,128,KiaOmni_SwappedSignal,0.11764705882352941,0.0,0.11764705882352941,1.0
niah_single,11,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,11,128,SnapKV_SwappedSignal,0.11764705882352941,0.0,0.11764705882352941,1.0
niah_single,12,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,1.0
niah_single,12,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,12,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,12,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,12,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,12,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,12,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,12,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,13,98,KiaOmni_NaturalSignal,0.03773584905660377,0.0,0.03773584905660378,1.0
niah_single,13,98,KiaOmni_SwappedSignal,0.03571428571428571,0.0,0.03571428571428572,1.0
niah_single,13,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,13,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,13,128,KiaOmni_NaturalSignal,0.03076923076923077,0.0,0.03076923076923077,1.0
niah_single,13,128,KiaOmni_SwappedSignal,0.03508771929824561,0.0,0.03508771929824561,1.0
niah_single,13,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,13,128,SnapKV_SwappedSignal,0.031746031746031744,0.0,0.031746031746031744,1.0
niah_single,14,98,KiaOmni_NaturalSignal,0.05,0.0,0.05,1.0
niah_single,14,98,KiaOmni_SwappedSignal,0.03225806451612903,0.0,0.03225806451612903,1.0
niah_single,14,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,14,98,SnapKV_SwappedSignal,0.037037037037037035,0.0,0.037037037037037035,1.0
niah_single,14,128,KiaOmni_NaturalSignal,0.04878048780487805,0.0,0.04878048780487806,1.0
niah_single,14,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_single,14,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_single,14,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,0,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,0,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,0,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,0,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,0,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,0,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,0,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,0,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,1,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,1,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,1,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,1,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,1,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,1,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,1,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,1,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,2,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,2,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,2,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,2,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,2,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,2,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,2,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,2,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,3,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,3,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,3,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,3,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,3,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,3,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,3,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,3,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,4,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,4,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,4,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,4,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,4,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,4,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,4,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,4,128,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,5,98,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,5,98,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,5,98,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,5,98,SnapKV_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,5,128,KiaOmni_NaturalSignal,0.0,0.0,0.0,0.0
niah_multikey,5,128,KiaOmni_SwappedSignal,0.0,0.0,0.0,0.0
niah_multikey,5,128,SnapKV_NaturalSignal,0.0,0.0,0.0,0.0
